model,rank_test_roc_auc,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_average_precision,std_test_average_precision
Support Vector Machine,7,"{""clf__C"": 1, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.8340136054421767,0.034887373910142024,0.8245936220908412,0.042513999867046876,0.8851851851851851,0.02523579759291003,0.8532921460572729,0.028685925895956782,0.9086376586376586,0.0413269184098169,0.9106908147034705,0.0474949245574897
Support Vector Machine,8,"{""clf__C"": 1, ""clf__gamma"": 0.1, ""clf__kernel"": ""rbf""}",0.8340136054421767,0.034887373910142024,0.8245936220908412,0.042513999867046876,0.8851851851851851,0.02523579759291003,0.8532921460572729,0.028685925895956782,0.9086247086247086,0.04125841201981026,0.9105620616901021,0.04741134878272554
Support Vector Machine,9,"{""clf__C"": 0.1, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.8300170068027211,0.01886222335385002,0.8053598014888337,0.023212653483376526,0.9085470085470085,0.038754817260699626,0.8530437499584504,0.016200913942312746,0.9065915565915565,0.04042672976112861,0.9204785001669908,0.04063842565755818
Support Vector Machine,9,"{""clf__C"": 0.1, ""clf__gamma"": 0.1, ""clf__kernel"": ""rbf""}",0.8300170068027211,0.01886222335385002,0.8053598014888337,0.023212653483376526,0.9085470085470085,0.038754817260699626,0.8530437499584504,0.016200913942312746,0.9065915565915565,0.04042672976112861,0.9204785001669908,0.04063842565755818
Support Vector Machine,11,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""clf__kernel"": ""rbf""}",0.7966836734693877,0.020309426684526417,0.8105042899258695,0.04267618964723604,0.8242165242165242,0.05272272024305726,0.8147917871602083,0.018293377573304858,0.8792022792022791,0.028666356464663697,0.8885502029586613,0.03977790848778969
Support Vector Machine,12,"{""clf__C"": 10, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.7926020408163266,0.022030867201048788,0.8090264574135542,0.043375386771863395,0.8168091168091168,0.050889603128348566,0.8105060728744939,0.018741139999859633,0.8781662781662781,0.02803923334742641,0.8871408655815822,0.038862635750643436
XGBoost,1,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2, ""clf__n_estimators"": 100}",0.8505102040816327,0.04280311895711393,0.8434329501915709,0.047317927621816365,0.892877492877493,0.038163879315419626,0.8667979781964243,0.036613982011735435,0.9161745661745663,0.03152511957559137,0.9266324493141692,0.0231791963120416
XGBoost,2,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.8464285714285713,0.034017219195784654,0.8374614121510673,0.0401780297815841,0.8931623931623932,0.03754851732733129,0.8635687406275642,0.028530349670629826,0.9134421134421133,0.03219508134219402,0.9259529959307239,0.022694695502136906
XGBoost,3,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__n_estimators"": 200}",0.8463435374149659,0.03903663270745976,0.8370837438423646,0.04269681124288288,0.892877492877493,0.038163879315419626,0.8634436805025041,0.03353918333910923,0.9130536130536131,0.03147586895376613,0.9236674472342298,0.02277473671918215
XGBoost,4,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 200}",0.8380952380952381,0.028020481656999576,0.824945054945055,0.03151384045740674,0.892877492877493,0.029406898987661932,0.8571032281558597,0.02380787058097823,0.9127428127428127,0.03428378905102538,0.9275874953976764,0.023275450431013898
XGBoost,5,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.8422619047619048,0.028546616210194758,0.8317142857142856,0.03825632608158772,0.892877492877493,0.029406898987661932,0.8604214785329336,0.023198971139828543,0.9116291116291115,0.03164654098856792,0.9231259484731522,0.02304891463187721
XGBoost,6,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2, ""clf__n_estimators"": 200}",0.838095238095238,0.03096382572295227,0.8260492610837439,0.041333450751926445,0.892877492877493,0.029406898987661932,0.8573238354352904,0.025093128997081333,0.9114348614348614,0.02321108387588331,0.9227194323625969,0.01675232520092027
XGBoost,7,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 2, ""clf__n_estimators"": 100}",0.8255952380952382,0.07431184674662193,0.816931216931217,0.07873471000100855,0.8854700854700855,0.034443490050615214,0.8486455860168685,0.05722880514922917,0.9102564102564102,0.03783842209964552,0.9182487267194677,0.030090802351408125
XGBoost,8,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 200}",0.8340986394557822,0.028957047057629106,0.825047619047619,0.04024595583970202,0.8854700854700855,0.02438520105587541,0.8534039346732845,0.02235590348181513,0.9048562548562549,0.02864157031210542,0.9199566429567353,0.018850197083316794
